"","Movie_title","Reviewer","DateReviews","Stars","Textreviews","TitleReviews"
"11","12. The Lord of the Rings: The Two Towers","Loving_Silence","12 August 2010","10/10","Peter Jackson truly outdid himself when creating the Lord of the Rings: The Fellowship of the Ring and he fails to disappoint us in the 2nd part of the Trilogy. The Two Towers shows us that he is not a one-hit wonder, like so many directors are. I actually think that The Two Towers reaches the same level as the Fellowship of the Ring, and sometimes even surpasses it.This film is the biggest film in the trilogy. What do I mean by that? Well this film has so many things going like the amazing Battle of Helms Deep. Frodo and Sam journey to Mount Doom, to destroy the Ring. But the one who's leading them through the way is Gollum, he looks so creepy and realistic, that he doesn't feel disconnected from us. A powerful performance by Andy Serkis as Gollum, he should of been nominated for an Oscar for Best Supporting Actor.The Best part of the film, is quite easily and everyone knows it the ending. The ending of the battle of Helm's Deep is quite breathtaking, and as Gandalf the White comes in the distance with another army to defeat the Orcs. When Treebeard and his army of Entz tear down Isengard, the destruction and the battle is so immense in size, that you truly have to see to believe.In size and scale, Peter Jackson has truly redefined the word ""epic"" and he also pays attention to the small things that truly elevate this movie from great to amazing. I definitely recommend this film to everyone, but you really should watch the first movie to truly understand what's going on.10/10"," An Epic in every sense of the word."
"12","12. The Lord of the Rings: The Two Towers","classicsoncall","28 December 2005","10/10","""The Lord of the Rings"" continues it's epic quest in this second installment of the trilogy, as the original fellowship is disbanded and it's various members must continue the good fight. While Frodo and Sam pursue their mission to Mordor, Pippin and Merry manage to escape the Uruk hai into the Fangorn Forest and their own adventure with the Ents. Aragorn, Legolas and Gimli traverse the Riddermark into the realm of Rohan.The One Ring begins to deepen it's spell over Frodo who questions his worthiness and stomach for the mission. This facet of his character allows Sam (Sean Astin) to portray his devotion and loyalty to his master, particularly when Gollum makes his appearance and becomes their guide. Gollum's looks are rivaled only by his treachery, and the duality of his personality is given emphasis in the tortured conversations he has with himself. I was a bit surprised at the way Gollum was portrayed in ""The Two Towers""; his cameo appearance in the first film as a slinky black cave denizen more closely resembled Tolkien's description and corresponded to the mental image I took away when reading about it. At the same time though, there was almost a comic element to it, whereas his physical features presented here more accurately allowed for a menacing but tortured creature.Even more fantastic creatures find CGI life in the film; I found the presentation of the Ents to be masterfully done. The ""olyphants"" were a neat touch and I was happy to see them included. Of course the orcs, wargs and Uruk hai all personify the evil that befalls Middle Earth in this dire time, and their presence instills fear and dread for the heroes all along the way.There's a lot going on in the film, and repeated viewings are helpful, along with an understanding created by reading Tolkien's story. Though not entirely necessary to enjoy the movie, I feel it grounds the viewer in the rich background of the characters and locations. Actually, the books and the film complement each other nicely, even though the movie of necessity must leave out some elements.There is no doubt that ""The Lord of the Rings"" has earned it's reputation as one of the greatest epic films of all time and the best fantasy film of them all. At the same time, it does a wonderful job of examining such themes as honor, loyalty, friendship and love as it's characters interact with each other and find common ground against a threat to their very existence."," ""There's some good in this world Mr. Frodo, and it's worth fighting for."""
"13","12. The Lord of the Rings: The Two Towers","auuwws","28 September 2020","10/10","Great movie I really enjoyed watching and better than the first part"," Great movie"
"14","12. The Lord of the Rings: The Two Towers","tfrizzell","25 March 2003","10/10","""The Lord of the Rings: The Two Towers"" is another excellent installment in the thus far excellent trilogy. The film picks up immediately where ""The Fellowship of the Ring"" left off as Elijah Wood and Sean Astin continue their long and seemingly hopeless journey to destroy the One Ring in the fires of Mordor. They run into the creature Gollum (played amazingly by Andy Serkis in a revolutionary character-generation). Serkis' motives are unclear as the ring has literally run him insane and created a split personality that combats the character's natural good side. Meanwhile Billy Boyd and Dominic Monaghan have escaped the dark forces that captured them, but now are in another dilemma as they try to convince a forest of living, moving trees to support their cause for good and truth. Viggo Mortensen, Orlando Bloom and John Rhys-Davies receive more help from the likes of Bernard Hill's army and his lovely niece (Mirando Otto). As all this occurs, Ian McKellen comes back and rehashes a role which seemed to have expired late in the first film. Hugo Weaving and daughter Liv Tyler know that victory is not certain and realize that they must leave their true homes forever to protect themselves and the lives of their people. Christopher Lee continues to create chaos with the help of the highly disturbed Brad Dourif (of ""One Flew Over the Cuckoo's Nest"" fame). In the end not one, but two key battles will create the sure-to-be electrifying landscape which will be experienced by all in the franchise's final installment (""The Return of the King""). Many view ""The Two Towers"" as an achievement even more impressive than its predecessor. True the film does go beyond the technical faculties of ""The Fellowship of the Ring"", but it is hard for me to pick this installment over the first (which will likely always be my favorite). This film is more intense and you get the feeling of real danger and peril throughout, while the first was more of an emotional experience due to its nice elements of friendship, love and personal sacrifice. In short, ""The Lord of the Rings: The Two Towers"" is an amazing sequel and it fits in well with the outstanding first film. 5 stars out of 5."," They Accomplished the Near-Impossible."
"15","12. The Lord of the Rings: The Two Towers","Boba_Fett1138","19 March 2005","10/10","Watching this movie is like watching a 179 or 223 minutes long action sequence. The pace is incredibly high. Alright I have to admit that the Extended Edition of the ""The Lord of the Rings: The Two Towers"" takes an awful lot of this pace away and make some of the scene's unnecessary long and the scene's with Treebeard are also a bit dull and long but still...Especially compared to the first that was just too slow at times this is an huge improvement!Luckily there also are some welcome additions in the Extended Edition. Best addition are the scene's with Boromir, Faramir and Denethor in Osgiliath.There also are some newly great characters and actors. David Wenham is a surprisingly talented young actor and I think it's great that they actually have cast someone that really looks like Sean Bean. Bernard Hill also impressed me, he probably is best know for his role as the captain in ""Titanic"" in which he also already impressed me. Viggo Mortensen probably still is the best actor of ""The Lord of the Rings"" movies. Yes sure Ian McKellen and Christopher Lee are also more than great but Mortensen really puts some passion and effort in his character. I know Sean Astin is always being praised a lot but I seriously don't think that he is such a good actor in any of ""The Lord of the Rings"" movies. Andy Serkis also was really good as Gollum/Sméagol and I wouldn't had mind seeing him get an Oscar nod.Strange thing is that the Gimli and Legolas suddenly changed into some comical sidekick characters. It was odd to see but it works! They provide some good comical relief at times.Most fantastic thing about the movie is that it's really action filled. The Battle of Helm's Deep truly is fantastic to see. Still favorite and most powerful moment of the movie is when the Ent's march to war. Also the scene's with the riders of Rohan are a true spectacle.I've never been really a big fan of the editing of ""The Lord of the Rings"" movies and this one is no exception. Problem is that Peter Jackson shot way too many hours of footage with as a result that the editors have difficulties picking the right scene's and the length of them.But ""The Lord of the Rings: The Two Towers"" is one of those movies were the pluses make more than up for the minuses.A spectacular adventure action experience.10/10http://bobafett1138.blogspot.com/"," Absolutely, totally fantastic!"
"16","12. The Lord of the Rings: The Two Towers","grendelkhan","7 January 2005","10/10","After Fellowship, the world wondered if Peter Jackson could sustain the momentum. The Two Towers is the shortest segment and the story is split into parallel tales. More characters enter the story, including one of the most important. Can Jackson do it? Of course he can.Spoilers: Two Towers sustains the magic of Fellowship, while expanding the scope of the story. Gollum enters the picture, in full view not shadow, and is a triumph to behold.The story cuts back and forth between Merry and Pippin's encounter with Treebeard and the Ents; Gimli, Legolas and Aragorn and their attempts to locate the hobbits and free them; and Sam Frodo and Gollum as they move closer to Mordor. Each aspect is well covered, without losing track of the other story. Rohan provides the setting for the first great battle (aside from the prologue in Fellowship) and what a battle it is. Gandalf returns, much changed from his encounter with the balrog. The evil of Wormtongue appears, and Theoden, Eowyn and Eomer take the stage.There are many great moments, from the mounted battles to Gollum and Smeagol's dialogue, Legolas' surf archery to Theoden's cure. Helm's Deep is a spectacular segment that takes one back to the epic films of the past. Darkness looms for Frodo and Sam, as Frodo slips deeper under the spell of the ring. He finds new, and sometimes strange, allies; as well as new foes. His journey becomes more difficult with each step.The quality of the production continues. The Rohirrum are a sight to behold and do conjure images of the lost Anglo-Saxons. The battle scenes are engaging and terrifying. War is depicted with all of its consequences. Your heart is torn as you see the young separated from their parents, innocents are killed, and destruction abounds. At the same time, strength and hope come to those in desperate need and courage comes in the unlikeliest of moments. You find yourself in the lowest depths, as all seems lost; and then your heart soars, as hope comes at the last moment. This is storytelling at its finest.This is not a sequel, it is another chapter in an epic saga. As such, it builds on the previous chapter and advances the story. The pace quickens as the conflict rises. The stakes are higher and the danger greater. The audience is on the edge of their seat, as darkness looms, while the threads of hope begin to weave together. The stage is set for the final battle."," Sophomore effort shines as brightly as the first."
"17","12. The Lord of the Rings: The Two Towers","Sleepin_Dragon","23 September 2023","10/10","Frodo and Sam continue with their dangerous journey, desperately trying to reach Mordor to destroy the ring, aided by Gollum, who is still conflicted about helping the hobbits.Where do you even start to unpick and comment on a film such as The Two Towers?Epic in every sense, this brilliant film will entertain and thrill you, astonish and move you. This one had me gripped from start to finish, I love the journey, but it's the ending that makes this film so incredible.The battle scenes are astonishing, some of the visuals even now are jaw dropping, the assembled armies look phenomenal. It is pretty much non stop action, for a long film, your attention will be held.The acting, as good as it gets, McKellen, Mortensen and Hill are all considered tremendous, and rightly so. I have to give credit to the magic of Christopher Lee, his very presence and delivery still give me chills, what an actor.Andy Serkis, off the scale, every single Gollum scene was flawless, the voice and visuals are tremendous, what an interesting and successful realisation.10/10."," A magical film."
"18","12. The Lord of the Rings: The Two Towers","TheLittleSongbird","8 March 2011","10/10","I do love all three films of The Lord of the Rings trilogy, all are visually stunning with wonderful music and strong narratives. The Two Towers is my personal favourite of the three for several reasons. For one thing it is less talky than Fellowship of the Ring, and the pace is a little more secure here. Also the final battle is just breathtaking in the action, direction and in its scope, and very compelling and epic. And some of the characters are developed more here than they were in Fellowship of the Ring primarily Frodo and Aragorn, who were played very well there but a little bland in comparison to here. When it comes to the scope The Two Towers is possibly the biggest in the trilogy. The cinematography is one of the strongest assets, while the scenery, costumes, lighting and make up(the orcs look amazing) are all gorgeous. You can tell a lot of effort went into this and it showed. The music is also darker and perhaps more complex, the story is richer and compelling and the dialogue is thought provoking. People may disagree, but I think The Two Towers is the best directed of the trilogy too.The acting is very good. Elijah Wood is likable enough with a stronger-written character, while Sean Astin's bumbling persona suits Sam really well. Viggo Mortensson is as strong and charismatic as ever. Ian McKellen, Christopher Lee and Bernard Hill are also perfectly cast, but the real revelation in my view with this movie is Gollum. Here Gollum is designed superbly, and Andy Serkis's performance is absolutely phenomenal and Oscar-nod worthy.In conclusion, a fine film and for me my personal favourite of the trilogy. 10/10 Bethany Cox"," My personal favourite of the trilogy"
"19","12. The Lord of the Rings: The Two Towers","EVON1TY","3 March 2023","10/10","Even if I watched this movie, like more than 20 times, still I feel nearly the same as I first watch.Can you imagine a movie can make you feel always the same. You're feeling that desperate, hopeless times with the Rohan soldiers.The first half of the movie is going slow, I think that brings realistic style to the movie, even if it is a Fantasy genre movie.As you may know, Tolkien is still the best at world creation on a Fantasy world. And he's too good at writing battle sequences. I don't know, the reason can be the World War that he fought in. He's making so remarkable battle sequences. And in the movie Peter Jackson and his crew did an amazing job with adaptation.The great cast that chosen well, shows you don't need big stars all the time.Howard Shore's brilliant Original Scores makes the movie much more effective.Cinematography is the most important thing when we're talking about visuals. The rainy night shots are just amazing. Academy Award winner Andrew Lesnie did really great job.The VFX and SFX is just magnificent, stunning quality. You know, the VFX is just revolutionary, that's clear. Because it is the foundation of Motion Capture technology.That Set Decoration is beyond revolutionary. Makes you feel like Helm's Deep and nearly all the other places feels real."," One of The Best battle sequence."
"20","12. The Lord of the Rings: The Two Towers","rc_whittle","19 December 2002","9/10","It seems ridiculous to want to add my own comments to a slew of others that are already in IMDB's records, but I feel like I cannot sleep nor cease the throbbing in my chest until I release some of what I have so recently seen.Peter Jackson's The Lord of the Rings is one of the bravest projects ever attempted by a filmmaker. Mr Jackson deserves every ovation he will receive, every award, every bit of the praise and adoration that will be spoken and written.This second installment of the story is a masterpiece in every sense, forget your prejudices about the books, they are another way of looking at this beautiful story (I know this is slightly against the rules, but a I cannot resist saying that a previous writers comment - a comment that compared the Lord of the Rings Films and Books to the difference between Romeo and Juliet in screenplay and ballet formats - was entirely accurate).Gollum was an excellent amalgam, so easily could he have been an annoying Jar-Jar-Binks-Alike. Instead the way that Jackson and Serkis (and doubtless many many others) chose to portray the CGI incarnation of ""Smeagol"" was incredibly emotive and powerful. Gollum is profoundly disturbing, amusing, almost lovable... Not even John Ronald Reuel himself could induce that range of emotions for Smeagol in me...A truly skin-crawling performance by a superb Brad Douris as the evil Grima Wormtongue was just beyond words. Douris _Became_ Wormtongue in a skillful fulfillment of what was already inspired casting.Probably the most definitive casting of this film though was Manchester born Bernard Hill as Theoden, King of Rohan. The casting for ""The Two Towers"" makes one shake ones head and wonder, in retrospect, whether anyone else could have filled these roles. Mr Hill's performance was truly first rate, a performance which contributed greatly to ""The Battle of Helms Deep"", scenes which were a spinning tornado of emotions for the viewer.Viggo Mortensen goes from strength to strength. His performance is visceral and yet sensitive. The overriding emotion that Tolkiens vision of Aragorn induced (at least for me) was awe at his heroics. Mortensen's portrayal in Jackson's frame brings new aspects to the Aragorn character. Mortensen's Aragorn is emotionally dextrous to go with his physical dexterity, he is sensitive, seemingly empathic, warmer and more fundamentally human, and yet super-human in presence and charisma. ""Definitive"" is not strong enough of a word.If you still view Jackson's epic with scepticism I implore you to put down your preconceptions and your prejudices, but most of all put down the books... This is beautiful way to see middle earth, don't pass it up - The books are the ultimate fantasy epic - the pictures you draw in your head are better than anything you can imagine, but The Lord of the Rings ""The Two Towers"" is one wonderful interpretation of that epic story.Go, Laugh, Cry, and Sit in Awe of this cinematic treat."," A standing ovation for all concerned."
"21","13. Fight Club","Pukeonthestreet","11 February 2020","10/10","Because you'll probably be confused the first time around. It's not a coincidence it stars some of the greatest actors of our time."," A great movie you can watch again and again"
"22","13. Fight Club","grantss","19 April 2014","10/10","Superb, and truly one of the greatest movies of all time.It starts with the screenplay. Adapted from, and very faithful to, an excellent book. The book by Chuck Palahniuk was perfect for a movie: vivid, powerful, challenging, original, unpredictable. Considering how perfectly formed the book already was, the screenplay would have been a doddle.Some very interesting themes are explored - consumerism, class warfare, multiple-personality disorder, male bonding, terrorism and anarchy - without being judgemental. Direction is spot-on. Perfect cinematography, pacing and editing. The twists and nuances of the book are captured perfectly.Edward Norton and Brad Pitt are perfectly cast as the two lead characters, and deliver in spades. Helena Bonham Carter is a strange selection to take on the role of Marla, as she tends to act in Shakespearean dramas and other period pieces. However, despite this, her performance is very convincing.An absolute classic."," Superb"
"23","13. Fight Club","jack_o_hasanov_imdb","28 July 2021","10/10","I have no words about this film. This is masterpiece cult film.10 / 10."," Crazy, Cult, Plot Twist, Awesome = Fight Club"
"24","13. Fight Club","Sleepin_Dragon","29 September 2023","10/10","An Office worker spends his time looking for fulfilment in various support groups, when he randomly encounters a soap maker named Tyler Durden, the pair discover a mutual, but strange and violent past time.There is no doubt in my mind, Fight Club is one of the best films of all time, a story like no other, even for someone that doesn't care for this film, I'm sure they'd agree that it's original.Fight Club is fast paced, action packed, intriguing, sexy, revealing and timeless, it's one of those films that it doesn't matter how many times you watch it, it doesn't lose any of its appeal. At times it is genuinely outrageous, and therein is its monumental appeal.Helena Bonham Carter steals so many films, and she's terrifiic here, but it's the combination of Ed Norton and Brad Pitt that makes the film, they are outstanding, I still think it's Norton's best performance to date.The wonderful, late Meatloaf adds a nice bit of humour.The moral of Fight Club......don't have the soup.10/10."," It's one of the best."
"25","13. Fight Club","bevo-13678","31 March 2020","10/10","A lot of people I know have never even heard about this film.
Good to see the system works"," Delightful Romantic comedy"
"26","13. Fight Club","Leofwine_draca","14 July 2016","10/10","David Fincher's dark, brooding assault on the senses employs much of the same style as he used in SEVEN, to great effect. This is a complex, intelligent film which, for a change, doesn't take the viewer for granted. A big streak of black comedy runs through the centre, making things a bit easier to cope with, but it's still a morose, disturbing film, a good film, yes, but not one which makes you feel good after watching it.The plot twists and turns continually, from beginning to end. Things start off on a relatively small scale to become outrageous and explosive at the film's finale. There's also one of those very-clever twists at the end, so favoured by the likes of THE USUAL SUSPECTS. There is plenty of sick humour, the highlight being the hilarious scene involving the liposuction fat - you'll know it when you see it.With a film like this, the acting has to be brilliant, and it frequently is. Edward Norton excels as the narrator of the story, caught up in all the madness, and it's a multi-faceted, psychologically-focused performance. Brad Pitt doesn't really stretch himself but he fits the bill well and isn't afraid to put off his female fans by appearing broken and bloodied in a film like this. Other actors, ranging from Meat Loaf to Jared Leto, are also very good.The violence is extremely brutal and unglamourised. Heads are knocked hard against concrete, acid is poured over flesh, teeth are knocked out, and noses are split open. This is a hard film to watch, but fascinating at the same time. Fiendishly clever and highly suspenseful, I would rate FIGHT CLUB as one of the best films of 1999 - on par with THE SIXTH SENSE, and just under my favourite, THE BLAIR WITCH PROJECT. Buy it, rent it, steal it, but be prepared: you won't be the same afterwards."," Fincher's tour de force is a bruising assault on the senses"
"27","13. Fight Club","Lk1990","30 April 2020","9/10","Fight Club does exactly what movies should do, blow our minds, make us ask questions of ourselves and our society, and all the while thoroughly entertain us. Edward Norton and Brad Pitt are at their very best."," This is why we watch movies."
